SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
1036,DRN-4794/99,Augmentin,457,mg/5mL,Suspension,70ml,Amoxicillin,Clavulanic Acid,,,3.760,"SmithKline Beecham PLC, UK."
1037,DRN-4803/99,Botox,100,Allergan Units,Powder for solution for injection ,1 Vial,Botulinum Toxin Type A ( from Clostridium botulinum ),,,,91.730,"Allergan Pharmaceuticals Ireland, Ireland."
1038,DRN-4804/99,Lanzor,30,mg,Capsules,14' ,Lansoprazole,,,,9.010,"Sanofi-Aventis France, France."
1039,DRN-4805/99,Xenical,120,mg,Capsules,42' ,Orlistat ,,,,10.730,"Roche Pharma (Schweiz) AG, Switzerland."
1040,DRN-4806/99,Xenical,120,mg,Capsules,84' ,Orlistat ,,,,23.520,"Roche Pharma (Schweiz) AG, Switzerland."
1041,DRN-4808/99,Mefac,500,mg,Tablets,20' ,Mefenamic Acid,,,,1.400,"Rowa Pharmaceuticals Ltd, Ireland."
1042,DRN-4809/99,Havrix 720 Junior Mono Dose Vaccine,720,ELISA Units,Suspension For Injection,0.5ml ,Hepatitis A Virus Antigen,,,,6.570,"GlaxoSmithKline Biologics SA, Belgium."
1043,DRN-4817/99,Cosopt,2,%,Eye Drops,5ml,Dorzolamide HCl,Timolol Maleate,,,8.630,"Merck Sharp & Dohme BV, The Netherlands."
1044,DRN-4821/99,Cloracef Forte,250,mg/5mL,Oral Suspension,75ml,Cefaclor,,,,3.480,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1045,DRN-4822/99,Cloracef,125,mg/5mL,Oral Suspension,75ml,Cefaclor,,,,1.300,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1046,DRN-4824/99,Takepron,15,mg,Capsules,14' ,Lansoprazole,,,,4.660,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
1047,DRN-4828/99,Miacalcic,200,IU,Nasal Spray,1' ,Salmon Calcitonin Synthetic,,,,53.850,"Novartis Pharma AG, Switzerland."
1048,DRN-4829/99,Twinrix Adult,,,Suspension For Injection,1ml PFS + 1needle,Hepatitis A (Inactivated),Hepatitis B Surface Antigen 20mcg,,,10.740,"GlaxoSmithKline Biologics SA, Belgium."
1049,DRN-4831/99,Xeloda,150,mg,Tablets,60' ,Capecitabine,,,,28.340,"Roche Pharma (Schweiz) AG, Switzerland."
1050,DRN-4832/99,Xeloda,500,mg,Tablets,120' ,Capecitabine,,,,169.450,"Roche Pharma (Schweiz) AG, Switzerland."
1051,DRN-4833/99,Rhinocort Aqua,32,mcg,Spray,120 Doses,Budesonide,,,,3.660,"AstraZeneca AB, Sweden."
1052,DRN-4834/99,Rhinocort Aqua,64,mcg/Dose,Nasal Spray,120 Doses,Budesonide,,,,5.530,"AstraZeneca AB, Sweden."
1053,DRN-4847/99,Domperide,10,mg,Tablets,30' ,Domperidone,,,,1.280,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1054,DRN-4848/99,Domperide,5,mg/5mL,Oral Suspension,150ml,Domperidone,,,,0.930,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1055,DRN-4850/99,Klean- Prep,69,g,Powder For Oral Solu,4' ,Macrogol,Potassium Chloride,Sodium Bicarbonate,Sodium Chloride,3.940,"Acino Pharma AG, Switzerland."
1056,DRN-4852/99,NEURORUBINE,1/100/100,MG/3ML,SOLUTION FOR INJECTION,5 X 3ML ,CYANOCOBALAMIN,PYRIDOXINE HC,THIAMINE HCL,,1.690,"ACINO PHARMA AG, SWITZERLAND."
1057,DRN-4857/99,Cefadril,500,mg,Capsules,12' ,Cefadroxil Monohydrate,,,,3.020,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
1058,DRN-4858/99,Ramlac,67,g/100mL,Syrup,300ml,Lactulose,,,,1.650,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
1059,DRN-4860/99,Sifrol,0.7,mg,Tablets,30' ,Pramipexole,,,,25.000,"Boehringer Ingelheim International GmbH, Germany."
1060,DRN-4861/99,Sifrol,0.088,mg,Tablets,30' ,Pramipexole,Urofollitropina,,,5.000,"Boehringer Ingelheim International GmbH, Germany."
1061,DRN-4862/99,Sifrol,0.25,mg,Tablets,30' ,Pramipexole,,,,8.260,"Boehringer Ingelheim International GmbH, Germany."
1062,DRN-4868/99,Aricept,5,mg,Film Coated Tablets,28' ,Donepezil,,,,33.970,"Pfizer SA, Belgium."
1063,DRN-4871/99,Micardis,40,mg,Tablets,28' ,Telmisartan,,,,7.540,"Boehringer Ingelheim International GmbH, Germany."
1064,DRN-4872/99,Micardis,80,mg,Tablets,28' ,Telmisartan,,,,9.770,"Boehringer Ingelheim International GmbH, Germany."
1065,DRN-4873/99,Campto,40,mg/2mL,Infusion,1 Vial,Irinotecan HCl Trihydrate,,,,29.120,"Pfizer Australia Pty Ltd, Australia."
1066,DRN-4874/99,Campto,100,mg/5mL,Infusion,1 Vial,Irinotecan HCl Trihydrate,,,,72.790,"Pfizer Australia Pty Ltd, Australia."
1067,DRN-4881/99,Neo-Healar,,,Ointment,30g,Lupinus Albus,Vateria Indica,Peppermint Oil,Aloe Vera,2.850,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
1068,DRN-4882/99,Neo-Healar,,,Suppositories,10's,Lupinus Albus,Vateria Indica,Peppermint Oil,Aloe Vera,2.010,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
1069,DRN-4883/99,Peglec,137.15,g,Powder for oral solution,1,Polyethylene glycol 118g,Potassium Chloride 1.484g,Sodium Bicarbonate 3.37g,"Sodium Chloride 2.93g, Sodium Sulfate Anhydrous 11.36g",3.050,"Tablets India Limited, India."
1070,DRN-4884/99,Vibramycin,100,mg,Tablets,10' ,Doxycycline Hyclate,,,,2.930,"Pfizer AG, Switzerland."
1071,DRN-4885/99,Diprivan,1,%,Emulsion For Inj. and Infusion,1 x 50ml Pre-Filled SyRinge,Propofol,,,,6.720,"AstraZeneca UK Limited, UK."
1072,DRN-4886/99,Diprivan,2,%,Emulsion For Inj. and Infusion,1 x 50ml Vial,Propofol,,,,14.760,"AstraZeneca UK Limited, UK."
1073,DRN-4887/99,Ranacid,75,mg,Film Coated Tablets,12' ,Ranitidine HCl,,,,1.360,"Tabuk Pharmaceutical Manufacturing Company, KSA."
1074,DRN-4889/99,Tabiflex,50,mg,Entric Coated Tablets,20 ENTERIC COAT,Diclofenac Sodium,,,,2.020,"Tabuk Pharmaceutical Manufacturing Company, KSA."
1075,DRN-4890/99,Forticef,250,mg,Capsules,12' ,Cefaclor,,,,2.880,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
1076,DRN-4891/99,Virustat,200,mg,Tablets,30' ,Acyclovir,,,,8.240,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
1077,DRN-4892/12,Brufen,400,mg,Tablets,30' ,Ibuprofen,,,,1.610,"Abbott Laboratories Limited, UK."
1078,DRN-4894/99,Gracial,,,Tablets,1 x 22 ,Desogestrel,Ethinylestradiol,,,1.930,"Aspen Pharma Trading Limited, Ireland."
1079,DRN-4898/99,Co-Diovan,12.5/80,mg,Film Coated Tablets,28' ,Hydrochlorothiazide,Valsartan,,,7.980,"Novartis Pharma AG, Switzerland."
1080,DRN-4904/99,Intron A Has-Free,,,Injectable Solution,1 Single Dosee V,Recombinant Interferon Alfa-2b,,,,16.290,"Schering-Plough Co., Ireland."
1081,DRN-4920/99,Depakine Chrono,500,mg,Prolong Release Film Coated Tablet,30,Sodium Valproate,Valproic Acid,,,5.820,"Sanofi-Aventis France, France."
1082,DRN-4921/99,Sandostatin LAR,10,mg,Prefilled Syringe Injection,2.5ml Prefilled SyRinge,Octreotide Acetate,,,,276.600,"Novartis Pharma AG, Switzerland."
1083,DRN-4922/99,Sandostatin LAR,20,mg,Prefilled Syringe Injection,2.5ml Prefilled SyRinge,Octreotide Acetate,,,,553.210,"Novartis Pharma AG, Switzerland."
1084,DRN-4923/99,Sandostatin LAR,30,mg,Prefilled Syringe Injection,2.5ml Prefilled SyRinge,Octreotide Acetate,,,,723.930,"Novartis Pharma AG, Switzerland."
1085,DRN-4931/99,Lemsip Max Flu Lemon,100/60,mg,Powder For Oral Solu,10 Sachets,Ascorbic Acid,Paracetamol,Pseudoephedrine HCl,,1.530,"Reckitt Benckiser Healthcare (UK) Ltd, UK."
1086,DRN-4933/99,Acetab,25,mg,Tablets,20' ,Captopril,,,,1.490,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1087,DRN-4934/99,Acetab,50,mg,Tablets,20' ,Captopril,,,,2.370,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
1088,DRN-4939/99,Vaqta,50,IU/0.5mL,Suspension for Injection,1 Dose Vial,Hepatitis A Virus Vaccine,,,,11.710,"Merck Sharp & Dohme Corp, USA."
1089,DRN-4940/99,Vaqta,25,IU/0.5mL,Suspension for Injection,1 Dose Vial,Hepatitis A Virus Vaccine,,,,6.510,"Merck Sharp & Dohme Corp, USA."
1090,DRN-4941/99,Para Special Lice,,,Shampoo,125ml,Depallethrin,Piperonyl Butoxide,,,2.280,"Laboratoires Omega Pharma, France."
1091,DRN-4942/99,Detrusitol,1,mg,Film Coated Tablets,28' ,Tolterodine Tartrate,,,,5.090,"Pfizer Italia Srl, Italy."
1092,DRN-4943/99,Detrusitol,2,mg,Film Coated Tablets,28' ,Tolterodine Tartrate,,,,7.560,"Pfizer Italia Srl, Italy."
1093,DRN-4946/99,Tramundin Retard,200,mg,Tablets,10' ,Tramadol HCl,,,,4.190,"Mundipharma GmbH, Germany."
1094,DRN-4947/99,Tramundin Retard,200,mg,Tablets,30' ,Tramadol HCl,,,,9.860,"Mundipharma GmbH, Germany."
1095,DRN-4950/99,Fraxiparine,1900,IU/0.2mL,Solution for Injection,10 PFS,Calcium Nadoparin(Lmwh),,,,8.890,"Aspen Pharma Trading Limited, Ireland."
1096,DRN-4951/99,Fraxiparine,2850,IU/0.3mL,Solution for Injection,2'PFS,Calcium Nadoparin(Lmwh),Low Molecular Weight Heparin (Calc.Nadoparin),,,2.670,"Aspen Pharma Trading Limited, Ireland."
1097,DRN-4952/99,Fraxiparine,2850,IU/0.3mL,Solution for Injection,10'PFS,Calcium Nadoparin(Lmwh),Low Molecular Weight Heparin (Calc.Nadoparin),,,13.330,"Aspen Pharma Trading Limited, Ireland."
1098,DRN-4953/99,Fraxiparine,3800,IU/0.4mL,Solution for Injection,10'PFS,Calcium Nadoparin(Lmwh),Low Molecular Weight Heparin (Calc.Nadoparin),,,17.770,"Aspen Pharma Trading Limited, Ireland."
1099,DRN-4954/99,Fraxiparine,5700,IU/0.6mL,Solution for Injection,2'PFS,Calcium Nadoparin(Lmwh),,,,5.330,"Aspen Pharma Trading Limited, Ireland."
1100,DRN-4955/99,Fraxiparine,5700,IU/0.6mL,Solution for Injection,10'PFS,Calcium Nadoparin(Lmwh),Low Molecular Weight Heparin (Calc.Nadoparin),,,26.640,"Aspen Pharma Trading Limited, Ireland."
1101,DRN-4956/99,Fraxiparine,7600,IU/0.8mL,Solution for Injection,2'PFS,Calcium Nadoparin(Lmwh),,,,7.100,"Aspen Pharma Trading Limited, Ireland."
1102,DRN-4957/99,Fraxiparine,7600,IU/0.8mL,Solution for Injection,10'PFS,Calcium Nadoparin(Lmwh),Low Molecular Weight Heparin (Calc.Nadoparin),,,32.880,"Aspen Pharma Trading Limited, Ireland."
1103,DRN-4958/99,Fraxiparine,9500,IU/1mL,Solution for Injection,2'PFS,Calcium Nadoparin(Lmwh),Low Molecular Weight Heparin (Calc.Nadoparin),,,9.480,"Aspen Pharma Trading Limited, Ireland."
1104,DRN-4959/99,Fraxiparine,9500,IU/1mL,Solution for Injection,10'PFS,Calcium Nadoparin(Lmwh),,,,42.520,"Aspen Pharma Trading Limited, Ireland."
1105,DRN-496/91,Rothacin,25,mg,Capsules,30' ,Indomethacin,,,,0.950,"Gulf Pharmaceutical Industries (Julphar), UAE."
1106,DRN-4962/99,Simulect,20,mg,Powder for solution for Injection,1 Vial 20mg + 1 solvent 5ml,Basiliximab,,,,665.180,"Novartis Pharma AG, Switzerland."
1107,DRN-4967/99,Flixotide Nebules,0.5,mg/2mL,Inhalation Suspension,10 x 2ml Ampoule,Fluticasone Propionate,,,,6.190,"GlaxoSmithKline Pty Ltd, Australia."
1108,DRN-4968/99,Flixotide Nebules,2,mg/2mL,Inhalation Suspension,10 x 2ml ampoul,Fluticasone Propionate,,,,15.580,"GlaxoSmithKline Pty Ltd, Australia."
1109,DRN-4969/99,Ventolin Evohaler,100,mcg,Aerosol,200 Doses,Salbutamol Sulfate,,,,4.020,"GlaxoWellcome UK Limited, UK."
1110,DRN-4972/99,Lamictal Liqui-Tabs,50,mg,Tablet For Oral Solution,30' ,Lamotrigine,,,,9.580,"GlaxoSmithkline Export Limited, UK."
1111,DRN-4973/99,Lamictal Liqui-Tabs,200,mg,Tablet For Oral Solution,30' ,Lamotrigine,,,,25.360,"GlaxoSmithkline Export Limited, UK."
1112,DRN-4981/99,Klavox,375,mg,Film Coated Tablets,20' ,Amoxicillin,Clavulanic Acid,,,3.460,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1113,DRN-4982/99,Klavox,625,mg,Film Coated Tablets,20' ,Amoxicillin,Clavulanic Acid,,,6.550,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1114,DRN-4983/99,Klavox,156,mg/5mL,Syrup,100ml,Amoxicillin,Clavulanic Acid,,,1.820,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1115,DRN-4984/99,Klavox,312.5,mg/5mL,Syrup,100ml,Amoxicillin,Clavulanic Acid,,,3.400,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1116,DRN-4985/99,Ferosac,100,mg/5mL,Injection,5' x 5ml Ampoules,Iron,,,,11.020,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1117,DRN-4986/99,Fertonic,,,Oral Drops,30ml,Ferrous Sulfate,,,,0.750,"Ram Pharmaceutical Industries Co. Ltd, Jordan."
1118,DRN-4987/99,Micoban,2,%,Cream,20g,Miconazole Nitrate,,,,0.650,"Amriya Pharmaceutical Industries Co., Egypt."
1119,DRN-4989/99,Micoban,100,mg,Vaginal Suppositories,6' ,Miconazole Nitrate,,,,1.150,"Amriya Pharmaceutical Industries Co., Egypt."
1120,DRN-4990/99,N P B,,,Ointment,15g,Bacitracin Zinc,Neomycin Sulfate,Polymyxin B Sulfate,,0.590,"Amriya Pharmaceutical Industries Co., Egypt."
1121,DRN-4998/99,Seretide Diskus,100/50,mcg,Inhalation Powder,60 INH.,Fluticasone Propionate,Salmeterol Xinafoate,,,11.310,"Laboratoire GlaxoSmithKline, France."
1122,DRN-4999/99,Seretide Diskus,250/50,mcg,Inhalation Powder,60 inh.,Fluticasone Propionate,Salmeterol Xinafoate,,,15.960,"Laboratoire GlaxoSmithKline, France."
1123,DRN-5000/99,Seretide Diskus,500/50,mcg,Inhalation Powder,60 INHELATIONS,Fluticasone Propionate,Salmeterol Xinafoate,,,21.050,"Laboratoire GlaxoSmithKline, France."
1124,DRN-5001/99,Alfoxan,500,mg,Film Coated Tablets,20' ,Mefenamic Acid,,,,1.170,"Remedica Ltd, Cyprus."
1125,DRN-5003/99,Samixon,1000,mg,Powder For Injection,1 vial + 1 diluent ampoule,Ceftriaxone Sodium,,,,4.620,"Hikma Pharmaceuticals Co. Ltd, Jordan."
1126,DRN-5004/99,Samixon,1000,mg,Powder For Injection,1 Vial,Ceftriaxone Sodium,,,,4.620,"Hikma Pharmaceuticals Co. Ltd, Jordan."
1127,DRN-5008/99,Synagis,100,mg/mL,Powder For Injection,1 Vial IM,Palivizumab,,,,382.210,"Abbvie Srl, Italy."
1128,DRN-5009/99,Axetine,750,mg,Powder for Solution for  Injection/Infusion,10 Vials,Cefuroxime Sodium ,,,,13.680,"Medochemie Ltd, Cyprus."
1129,DRN-5010/99,Samixon,500,mg,Powder For Injection,1 vial + 1 diluent ampoule,Ceftriaxone Sodium,,,,3.330,"Hikma Pharmaceuticals Co. Ltd, Jordan."
1130,DRN-5011/99,Samixon,500,mg,Powder For Injection,1 Vial,Ceftriaxone Sodium,,,,3.860,"Al Hikma Pharmaceuticals Co. Ltd, Jordan."
1131,DRN-5019/99,Fucidin H,2/0.15,%,Cream,15g,Fusidic Acid,Hydrocortisone Acetate,,,1.890,"LEO Pharma A/S, Denmark."
1132,DRN-5022/99,Novonorm,0.5,mg,Tablets,30' ,Repaglinide,,,,3.370,"Novo Nordisk A/S, Denmark."
1133,DRN-5023/99,Novonorm,0.5,mg,Tablets,90' ,Repaglinide,,,,10.120,"Novo Nordisk A/S, Denmark."
1134,DRN-5024/99,Novonorm,1,mg,Tablets,30' ,Repaglinide,,,,3.370,"Novo Nordisk A/S, Denmark."
1135,DRN-5025/99,Novonorm,1,mg,Tablets,90' ,Repaglinide,,,,10.120,"Novo Nordisk A/S, Denmark."
1136,DRN-5026/99,Novonorm,2,mg,Tablets,30' ,Repaglinide,,,,3.370,"Novo Nordisk A/S, Denmark."
1137,DRN-5027/99,Novonorm,2,mg,Tablets,90' ,Repaglinide,,,,10.120,"Novo Nordisk A/S, Denmark."
1138,DRN-5035/99,Nystalocal,,,Cream,20g,Chlorhexidine Dihydrochloride ,Dexamethasone ,Nystatin ,,3.200,"Medinova AG, Switzerland."
1139,DRN-5037/99,Prostin E2,3,mg,Vaginal Tablets,4 Vaginal TABLE,Dinoprostone,,,,18.670,"Pfizer SA, Belgium."
1140,DRN-5039/99,Advil,200,mg,Coated Tablets,24' ,Ibuprofen,,,,0.700,"Pfizer Consumer Healthcare, Canada."
1141,DRN-5040/99,Advil,200,mg,Coated Tablets,50' ,Ibuprofen,,,,1.470,"Pfizer Consumer Healthcare, Canada."
1142,DRN-5046/99,Lescol,40,mg,Capsules,28' ,Fluvastatin,,,,10.170,"Novartis Pharma AG, Switzerland."
1143,DRN-5047/99,Anafranil,25,mg,Sugar Coated Tablets,30' ,Clomipramine HCl,,,,2.100,"Novartis Pharma AG, Switzerland."
1144,DRN-5053/99,Bonnisan,0.0018,mL/5mL,Syrup,120ml,Dill Oil,,,,0.690,"The Himalaya Drug Company, India."
1145,DRN-5059/99,Fevadol Plus,500/8/30,mg,Tablets,20' ,Paracetamol,Codeine Phosphate,Caffeine,,0.810,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1146,DRN-5061/99,Exylin Paediatric,7,mg,Syrup,100ml,Diphenhydramine HCl,Menthol,,,0.540,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1147,DRN-5063/99,Rofenac-D,50,mg,Tablets,20' ,Diclofenac Sodium,,,,2.020,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1148,DRN-5064/99,Ferose,100,mg,Tablets,30' ,Iron III (as Iron III Polymaltose),,,,2.180,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1149,DRN-5065/99,Ferose,50,mg/5mL,Syrup,100ml,Iron,,,,1.630,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1150,DRN-5069/99,Rantag,50,mg/2mL,Injection,5' ,Ranitidine HCl,,,,2.080,"Gulf Pharmaceutical Industries (Julphar), UAE."
1151,DRN-5070/99,Negacef,0.5,g,Injection,1 Vial,Ceftazidime,,,,1.750,"Gulf Pharmaceutical Industries (Julphar), UAE."
1152,DRN-5071/99,Negacef,1,g,Injection,1 Vial,Ceftazidime,,,,3.500,"Gulf Pharmaceutical Industries (Julphar), UAE."
1153,DRN-5074/99,Integrilin,0.75,mg/mL,Solution,100ml (iv infusion Vial),Eptifibatide,,,,44.300,"Merck Sharp & Dohme Pty Ltd, Australia."
1154,DRN-5075/99,Integrilin,2,mg/mL,Injectable Solution,10ml (bolus Vial),Eptifibatide,,,,15.270,"Merck Sharp & Dohme Pty Ltd, Australia."
1155,DRN-5076/99,Lamisil,125,mg,Tablets,14' ,Terbinafine HCl,,,,7.580,"Novartis Pharma AG, Switzerland."
1156,DRN-5077/99,Lamisil,250,mg,Tablets,14' ,Terbinafine HCl,,,,15.210,"Novartis Pharma AG, Switzerland."
1157,DRN-5078/99,Leponex,25,mg,Tablets,50' ,Clozapine,,,,4.980,"Novartis Pharma AG, Switzerland."
1158,DRN-5079/99,Leponex,100,mg,Tablets,50' ,Clozapine,,,,16.750,"Novartis Pharma AG, Switzerland."
1159,DRN-5091/99,Tegretol,200,mg,Tablets,50' ,Carbamazepine,,,,3.930,"Novartis Pharma AG, Switzerland."
1160,DRN-5092/99,Tegretol CR,200,mg,Film Coated Tablets,50' ,Carbamazepine,,,,4.640,"Novartis Pharma AG, Switzerland."
1161,DRN-5099/99,Desferal,2,g,Injection,1 Vial,Desferrioxamine Mesilate,,,,7.840,"Novartis Pharma AG, Switzerland."
1162,DRN-5104/99,Voltaren,1,%,Emulgel,20g,Diclofenac Diethylamine,,,,0.670,"Novartis Consumer Health SA, Switzerland."
1163,DRN-5105/99,Voltaren,1,%,Emulgel,50g,Diclofenac Diethylamine,,,,1.680,"Novartis Consumer Health SA, Switzerland."
1164,DRN-5110/99,Zofran Melt,8,mg,Oral lyophilisate,10' ,Ondansetron,,,,38.100,"Novartis Pharma AG, Switzerland."
1165,DRN-5115/00,RAPIDUS,50,MG,FILM-COATED TABLET,20,DICLOFENAC POTASSIUM,,,,2.020,"TABUK PHARMACEUTICAL MANUFACTURING COMPANY, KSA."
1166,DRN-5116/00,Famopsin,20,mg,Tablets,30' ,Famotidine,,,,3.050,"Remedica Ltd, Cyprus."
1167,DRN-5125/00,Neoxidil,2,%,Solution For External,60ml,Minoxidil ,,,,6.530,"Galderma International, France."
1168,DRN-5126/00,Differin,0.1,%,Gel,30g,Adapalene,,,,1.840,"Galderma International, France."
1169,DRN-5127/00,Benzac Ac,2.5,%,Gel,60g,Benzoyl Peroxide,,,,1.230,"Galderma International, France."
1170,DRN-5128/00,Benzac Ac,5,%,Gel,60g,Benzoyl Peroxide,,,,1.720,"Galderma International, France."
1171,DRN-5129/00,Benzac Ac,10,%,Gel,60g,Benzoyl Peroxide,,,,1.720,"Galderma International, France."
1172,DRN-513/91,Indogesic,25,mg,Capsules,30's,Indomethacin,,,,0.790,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
1173,DRN-5130/00,Celebrex,100,mg,Capsules,20' ,Celecoxib,,,,4.170,"Pfizer Inc, USA."
1174,DRN-5131/00,Celebrex,200,mg,Capsules,10' ,Celecoxib,,,,3.480,"Pfizer Inc, USA."
1175,DRN-5136/00,Plavix,75,mg,Film Coated Tablets,28 film coated,Clopidogrel Bisulfate,,,,25.770,"Sanofi Clir SNC, France."
1176,DRN-5147/00,Locacorten Tar,,,Ointment,60g,Coal Tar,Flumethasone,,,8.720,"Novarties Saglik, Turkey."
1177,DRN-5148/00,Locacorten - Vioform,,,Ear Drops,7.5ml,Clioquinol,Flumetasone Pivalate,,,1.700,"Amdipharm Limited, Ireland."
1178,DRN-5149/00,Locacorten - Vioform,,,Cream,15g,Clioquinol,Flumethasone,,,2.060,"Famar SA, Greece."
1179,DRN-5117/00,Klacid Paediatric Suspension ,250,mg/5mL,Oral Suspension,100ml,Clarithromycin,,,,7.740,"Abbott Laboratories Limited, UK."
1180,DRN-5157/00,Loceryl Nail Lacquer,5,%,Film Forming Solution,5ml,Amorolfine HCl,,,,8.350,"Galderma International, France."
1181,DRN-5160/00,Pariet,20,mg,Gastro-Resistant Tablets,14' ,Rabeprazole Sodium,,,,6.140,"Janssen-Cilag NV, Belgium."
1182,DRN-5161/00,Pariet,20,mg,Gastro-Resistant Tablets,28' ,Rabeprazole Sodium,,,,13.240,"Janssen-Cilag NV, Belgium."
1183,DRN-5162/00,Lanzor,15,mg,Gastro Resistant Capsules ,30' ,Lansoprazole,,,,9.980,"Sanofi-Aventis France, France."
1184,DRN-517/91,Dolgit,600,mg,Tablets,20' ,Ibuprofen,,,,1.080,"Dolorgiet GmbH & Co. KG, Germany."
1185,DRN-5170/00,Cyteal,,,Foaming Solution,500ml,Chlorhexidine Digluconate,Chlorocresol,Hexamidine Di-Isethionate,,2.550,"Pierre Fabre Medicament Laboratories, France."
1186,DRN-5173/00,HERCEPTIN,440,MG,POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,1 + 1,TRASTUZUMAB,,,,1295.940,"ROCHE PHARMA (SCHWEIZ) AG, SWITZERLAND."
1187,DRN-5182/00,Flixotide Diskus,50,mcg,Inhalation Powder,60 Doses,Fluticasone Propionate,,,,3.750,"Laboratoire GlaxoSmithKline, France."
1188,DRN-5183/00,Flixotide Diskus,100,mcg,Inhalation Powder,60 Doses,Fluticasone Propionate,,,,5.870,"Laboratoire GlaxoSmithKline, France."
1189,DRN-5184/00,Flixotide Diskus,250,mcg,Inhalation Powder,60 Doses,Fluticasone Propionate,,,,10.590,"Laboratoire GlaxoSmithKline, France."
1190,DRN-5197/00,Solcoseryl,20,%,Jelly,20g,Protein Free Haemodialysate of Calf Blood ,Chemically and Biologically Standardized (Dried) ,,,2.220,"MEDA Pharmaceuticals Switzerland GmbH, Switzerland."
1191,DRN-5201/00,Lamisil Dermgel,1,%,Gel,15g,Terbinafine HCl,,,,1.200,"Novartis Consumer Health SA, Switzerland."
1192,DRN-5203/00,BETASERC,16,MG,TABLET,60,BETAHISTINE DIHYDROCHLORIDE,,,,7.420,"ABBOTT HEALTHCARE PRODUCTS BV, THE NETHERLANDS."
1193,DRN-5207/01,Peptomet,10,mg,Tablets,30' ,Domperidone,,,,1.160,"Remedica Ltd, Cyprus."
1194,DRN-5209/00,Cafergot,,,Tablets,20' ,Ergotamine Tartrate,Caffeine,,,1.600,"Amdipharm Limited, Ireland."
1195,DRN-5213/00,Zeffix,100,mg,Film Coated Tablets,28' ,Lamivudine,,,,42.020,"Glaxo Group Limited, UK."
1196,DRN-5220/00,Rofenac,1,%,Gel,50g,Diclofenac Sodium,,,,1.520,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
1197,DRN-5226/00,Dermobacter,0.5/0.2,%,Foaming Solution,300ml,Benzalkonium Chloride,Chlorhexidine Digluconate,,,2.190,"Laboratoire Innotech International, France."
1198,DRN-5228/00,Aprovel,150,mg,Tablets,28' ,Irbesartan,,,,8.420,"Sanofi Clir SNC, France."
1199,DRN-5229/00,Aprovel,300,mg,Film Coated Tablets,28' ,Irbesartan,,,,10.340,"Sanofi Clir SNC, France."
1200,DRN-523/91,Aspirin 'C',400/240,mg,Effervescent Tablets,10' ,Acetylsalicylic Acid ,Ascorbic Acid ,,,0.800,"Bayer Consumer Care AG, Switzerland."
1201,DRN-5230/00,Travocort,1/0.1,%,Cream,20g,Isoconazole Nitrate ,Diflucortolone Valerate ,,,2.010,"Bayer Pharma AG, Germany."
1202,DRN-5231/00,Skinoren,20,%,Cream,30g,Azelaic Acid,,,,3.220,"Bayer Pharma AG, Germany."
1203,DRN-5232/00,Advantan,0.1,%,Cream,20g,Methylprednisolone Aceponate,,,,1.770,"Bayer Pharma AG, Germany."
1204,DRN-5233/00,Advantan,0.1,%,Ointment,20g,Methylprednisolone Aceponate,,,,1.770,"Bayer Pharma AG, Germany."
1205,DRN-5243/00,Prograf,1,mg,Capsules,100' ,Tacrolimus,,,,112.120,"Hikma Pharmaceuticals Co. Ltd, Jordan."
1206,DRN-5244/00,Prograf,5,mg,Capsules,100' ,Tacrolimus,,,,498.280,"Hikma Pharmaceuticals Co. Ltd, Jordan."
